delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.82263,0.86729,4.87409,7.93941,40
6,81.25000,29.84472,0.84058,5.64264,8.91414,40
10,68.75000,29.08398,0.80640,6.48856,9.79964,40
13,59.37500,28.37706,0.78004,7.10275,10.54405,40
16,50.00000,27.73025,0.74888,7.78097,11.35255,40
19,40.62500,27.10992,0.71268,8.45338,12.22504,40
22,31.25000,26.37240,0.66487,9.40674,13.39042,40
26,18.75000,25.37178,0.58423,10.70356,15.00376,40
29,9.37500,24.33623,0.49419,12.32326,16.90223,40
31,3.12500,23.93643,0.42469,13.08201,17.77939,40
