delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,29.51233,0.85076,5.53025,9.03563,40
6,81.25000,28.45268,0.81554,6.52885,10.18055,40
10,68.75000,27.64854,0.77535,7.47483,11.23343,40
13,59.37500,27.01855,0.74262,8.23966,12.07611,40
16,50.00000,26.40151,0.70376,8.98782,12.97630,40
19,40.62500,25.77680,0.66128,9.92598,14.02155,40
22,31.25000,25.17789,0.60887,10.79080,15.07317,40
26,18.75000,24.21730,0.52441,12.30634,16.87440,40
29,9.37500,23.54105,0.44666,13.41195,18.26272,40
31,3.12500,23.25872,0.37467,14.00248,19.00575,40
