delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,29.69787,0.85375,5.36317,8.72159,40
6,81.25000,28.72227,0.81982,6.30766,9.75148,40
10,68.75000,27.73249,0.77584,7.43377,10.98640,40
13,59.37500,27.16760,0.74342,8.07270,11.74415,40
16,50.00000,26.63583,0.71165,8.74103,12.54672,40
19,40.62500,26.03801,0.67505,9.43478,13.42810,40
22,31.25000,25.29290,0.62631,10.41249,14.68242,40
26,18.75000,24.34821,0.54148,11.72194,16.26302,40
29,9.37500,23.58217,0.46588,12.87897,17.75005,40
31,3.12500,23.32461,0.40547,13.39442,18.25233,40
