dist_px,mean_abs_diff,n
0,10.25613,880
1,10.13297,880
2,9.57178,800
3,9.42929,800
4,9.22414,800
5,9.07440,800
6,8.75373,720
7,8.56408,720
8,8.23240,720
9,8.05875,720
10,7.96967,720
11,7.85415,720
12,7.31098,640
13,7.14905,640
14,7.06822,640
15,6.81057,640
16,6.68250,640
17,6.64055,640
18,6.53736,640
19,6.41411,640
20,6.02476,560
21,5.83446,560
22,5.74418,560
23,5.59816,560
24,5.48776,560
25,5.41133,560
26,4.90738,480
27,4.78359,480
28,4.73610,480
29,4.66423,480
30,4.58712,480
31,4.58346,480
32,4.01987,400
33,4.01113,400
34,3.92129,400
35,3.84426,400
36,3.80521,400
37,3.77941,400
38,3.23286,320
39,3.20717,320
40,3.14790,320
41,3.09307,320
42,3.08310,320
43,3.07721,320
44,2.41041,240
45,2.35818,240
46,2.36353,240
47,2.33866,240
48,2.32028,240
49,2.31136,240
50,2.31133,240
51,2.31073,240
52,1.43521,160
53,1.39853,160
54,1.38602,160
55,1.39745,160
56,1.40515,160
57,1.37432,160
58,0.00000,80
59,0.00000,80
60,0.00000,80
61,0.00000,80
62,0.00000,80
63,0.00000,80
64,0.00000,0
65,0.00000,0
66,0.00000,0
67,0.00000,0
68,0.00000,0
69,0.00000,0
70,0.00000,0
71,0.00000,0
72,0.00000,0
73,0.00000,0
74,0.00000,0
75,0.00000,0
76,0.00000,0
77,0.00000,0
78,0.00000,0
79,0.00000,0
80,0.00000,0
81,0.00000,0
82,0.00000,0
83,0.00000,0
84,0.00000,0
85,0.00000,0
86,0.00000,0
87,0.00000,0
88,0.00000,0
89,0.00000,0
90,0.00000,0
91,0.00000,0
92,0.00000,0
93,0.00000,0
94,0.00000,0
95,0.00000,0
96,0.00000,0
97,0.00000,0
98,0.00000,0
99,0.00000,0
100,0.00000,0
101,0.00000,0
102,0.00000,0
103,0.00000,0
104,0.00000,0
105,0.00000,0
106,0.00000,0
107,0.00000,0
108,0.00000,0
109,0.00000,0
110,0.00000,0
111,0.00000,0
112,0.00000,0
113,0.00000,0
114,0.00000,0
115,0.00000,0
116,0.00000,0
117,0.00000,0
118,0.00000,0
119,0.00000,0
120,0.00000,0
121,0.00000,0
122,0.00000,0
123,0.00000,0
124,0.00000,0
125,0.00000,0
126,0.00000,0
127,0.00000,0
