dist_px,mean_abs_diff,n
0,10.69145,880
1,10.29199,880
2,9.85077,800
3,9.88343,800
4,9.75066,800
5,9.48437,800
6,8.97897,720
7,8.86087,720
8,8.62508,720
9,8.32207,720
10,8.11183,720
11,7.99963,720
12,7.41943,640
13,7.28327,640
14,7.12887,640
15,7.02401,640
16,6.77622,640
17,6.66799,640
18,6.51854,640
19,6.43784,640
20,5.90193,560
21,5.72259,560
22,5.54355,560
23,5.48769,560
24,5.37759,560
25,5.30980,560
26,4.80038,480
27,4.62996,480
28,4.52109,480
29,4.48147,480
30,4.38720,480
31,4.25980,480
32,3.81521,400
33,3.74550,400
34,3.73258,400
35,3.67712,400
36,3.61663,400
37,3.52135,400
38,3.01791,320
39,2.96299,320
40,2.96226,320
41,2.91677,320
42,2.89522,320
43,2.83141,320
44,2.18622,240
45,2.15545,240
46,2.14190,240
47,2.14094,240
48,2.09904,240
49,2.10059,240
50,2.04079,240
51,2.03192,240
52,1.33053,160
53,1.33302,160
54,1.32346,160
55,1.30235,160
56,1.28243,160
57,1.27077,160
58,0.00000,80
59,0.00000,80
60,0.00000,80
61,0.00000,80
62,0.00000,80
63,0.00000,80
64,0.00000,0
65,0.00000,0
66,0.00000,0
67,0.00000,0
68,0.00000,0
69,0.00000,0
70,0.00000,0
71,0.00000,0
72,0.00000,0
73,0.00000,0
74,0.00000,0
75,0.00000,0
76,0.00000,0
77,0.00000,0
78,0.00000,0
79,0.00000,0
80,0.00000,0
81,0.00000,0
82,0.00000,0
83,0.00000,0
84,0.00000,0
85,0.00000,0
86,0.00000,0
87,0.00000,0
88,0.00000,0
89,0.00000,0
90,0.00000,0
91,0.00000,0
92,0.00000,0
93,0.00000,0
94,0.00000,0
95,0.00000,0
96,0.00000,0
97,0.00000,0
98,0.00000,0
99,0.00000,0
100,0.00000,0
101,0.00000,0
102,0.00000,0
103,0.00000,0
104,0.00000,0
105,0.00000,0
106,0.00000,0
107,0.00000,0
108,0.00000,0
109,0.00000,0
110,0.00000,0
111,0.00000,0
112,0.00000,0
113,0.00000,0
114,0.00000,0
115,0.00000,0
116,0.00000,0
117,0.00000,0
118,0.00000,0
119,0.00000,0
120,0.00000,0
121,0.00000,0
122,0.00000,0
123,0.00000,0
124,0.00000,0
125,0.00000,0
126,0.00000,0
127,0.00000,0
