dist_px,mean_abs_diff,n
0,10.27084,880
1,10.05898,880
2,9.60391,800
3,9.56561,800
4,9.49005,800
5,9.30911,800
6,8.83122,720
7,8.78659,720
8,8.51697,720
9,8.22342,720
10,8.01137,720
11,7.93936,720
12,7.42225,640
13,7.25484,640
14,7.06881,640
15,7.00321,640
16,6.83121,640
17,6.76618,640
18,6.57966,640
19,6.44313,640
20,5.88623,560
21,5.79889,560
22,5.65002,560
23,5.56426,560
24,5.45744,560
25,5.28874,560
26,4.88773,480
27,4.74795,480
28,4.66180,480
29,4.58023,480
30,4.54246,480
31,4.41166,480
32,3.93968,400
33,3.83687,400
34,3.74956,400
35,3.64941,400
36,3.60195,400
37,3.57263,400
38,3.06725,320
39,3.00650,320
40,2.94829,320
41,2.90172,320
42,2.88447,320
43,2.87746,320
44,2.34393,240
45,2.32277,240
46,2.27370,240
47,2.23458,240
48,2.20539,240
49,2.18170,240
50,2.14599,240
51,2.12063,240
52,1.35992,160
53,1.38035,160
54,1.38287,160
55,1.37531,160
56,1.37300,160
57,1.35744,160
58,0.00000,80
59,0.00000,80
60,0.00000,80
61,0.00000,80
62,0.00000,80
63,0.00000,80
64,0.00000,0
65,0.00000,0
66,0.00000,0
67,0.00000,0
68,0.00000,0
69,0.00000,0
70,0.00000,0
71,0.00000,0
72,0.00000,0
73,0.00000,0
74,0.00000,0
75,0.00000,0
76,0.00000,0
77,0.00000,0
78,0.00000,0
79,0.00000,0
80,0.00000,0
81,0.00000,0
82,0.00000,0
83,0.00000,0
84,0.00000,0
85,0.00000,0
86,0.00000,0
87,0.00000,0
88,0.00000,0
89,0.00000,0
90,0.00000,0
91,0.00000,0
92,0.00000,0
93,0.00000,0
94,0.00000,0
95,0.00000,0
96,0.00000,0
97,0.00000,0
98,0.00000,0
99,0.00000,0
100,0.00000,0
101,0.00000,0
102,0.00000,0
103,0.00000,0
104,0.00000,0
105,0.00000,0
106,0.00000,0
107,0.00000,0
108,0.00000,0
109,0.00000,0
110,0.00000,0
111,0.00000,0
112,0.00000,0
113,0.00000,0
114,0.00000,0
115,0.00000,0
116,0.00000,0
117,0.00000,0
118,0.00000,0
119,0.00000,0
120,0.00000,0
121,0.00000,0
122,0.00000,0
123,0.00000,0
124,0.00000,0
125,0.00000,0
126,0.00000,0
127,0.00000,0
