delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.62101,0.88934,4.76600,7.01150,40
6,81.25000,30.73804,0.86781,5.45850,7.80743,40
10,68.75000,29.68007,0.84161,6.27370,8.74141,40
13,59.37500,28.53074,0.82328,7.37880,9.89419,40
16,50.00000,28.40334,0.79984,7.65642,10.30075,40
19,40.62500,27.46426,0.77459,8.60198,11.34704,40
22,31.25000,27.04635,0.74520,9.06985,11.96108,40
26,18.75000,26.28712,0.68660,10.16366,13.33707,40
29,9.37500,25.31193,0.62040,11.14235,14.84160,40
31,3.12500,24.89264,0.57020,11.94158,15.79987,40
