dist_px,mean_abs_diff,n
0,10.10039,50160
1,9.81218,50160
2,9.39204,45600
3,9.3909,45600
4,9.2028,45600
5,8.9936,45600
6,8.52681,41040
7,8.3621,41040
8,8.13974,41040
9,7.91377,41040
10,7.71125,41040
11,7.56851,41040
12,7.03899,36480
13,6.89683,36480
14,6.7608,36480
15,6.60937,36480
16,6.42919,36480
17,6.31869,36480
18,6.18163,36480
19,6.05999,36480
20,5.60309,31920
21,5.47522,31920
22,5.3615,31920
23,5.25226,31920
24,5.13484,31920
25,5.03876,31920
26,4.58179,27360
27,4.49127,27360
28,4.40592,27360
29,4.34407,27360
30,4.27048,27360
31,4.19749,27360
32,3.73497,22800
33,3.68226,22800
34,3.61924,22800
35,3.56354,22800
36,3.51085,22800
37,3.46691,22800
38,2.95803,18240
39,2.92126,18240
40,2.87914,18240
41,2.85284,18240
42,2.82575,18240
43,2.79599,18240
44,2.18325,13680
45,2.16153,13680
46,2.13924,13680
47,2.11543,13680
48,2.09771,13680
49,2.08393,13680
50,2.06896,13680
51,2.0576,13680
52,1.34685,9120
53,1.34036,9120
54,1.33391,9120
55,1.32925,9120
56,1.32329,9120
57,1.32328,9120
58,0.0,4560
59,0.0,4560
60,0.0,4560
61,0.0,4560
62,0.0,4560
63,0.0,4560
64,nan,0
65,nan,0
66,nan,0
67,nan,0
68,nan,0
69,nan,0
70,nan,0
71,nan,0
72,nan,0
73,nan,0
74,nan,0
75,nan,0
76,nan,0
77,nan,0
78,nan,0
79,nan,0
80,nan,0
81,nan,0
82,nan,0
83,nan,0
84,nan,0
85,nan,0
86,nan,0
87,nan,0
88,nan,0
89,nan,0
90,nan,0
91,nan,0
92,nan,0
93,nan,0
94,nan,0
95,nan,0
96,nan,0
97,nan,0
98,nan,0
99,nan,0
100,nan,0
101,nan,0
102,nan,0
103,nan,0
104,nan,0
105,nan,0
106,nan,0
107,nan,0
108,nan,0
109,nan,0
110,nan,0
111,nan,0
112,nan,0
113,nan,0
114,nan,0
115,nan,0
116,nan,0
117,nan,0
118,nan,0
119,nan,0
120,nan,0
121,nan,0
122,nan,0
123,nan,0
124,nan,0
125,nan,0
126,nan,0
127,nan,0
