delta,overlap_pct,n_regions,psnr_mean,psnr_std,ssim_mean,ssim_std,mae_mean,rmse_mean
0,100.0,57,99.99,0.0,1.0,0.0,0.0,0.0
3,90.625,57,30.8268,1.1062,0.85,0.0139,5.0311,7.8755
6,81.25,57,29.9147,1.1081,0.8188,0.0163,5.8285,8.7575
10,68.75,57,28.9383,1.1012,0.7804,0.0202,6.7608,9.7904
13,59.375,57,28.3471,1.1226,0.753,0.0228,7.3815,10.4975
16,50.0,57,27.8136,1.1343,0.7216,0.0252,7.9926,11.1955
19,40.625,57,27.2371,1.1603,0.6848,0.0284,8.6813,11.9961
22,31.25,57,26.6478,1.1802,0.6415,0.0318,9.44,12.882
26,18.75,57,25.7766,1.2134,0.568,0.0384,10.635,14.3122
29,9.375,57,25.086,1.2419,0.5049,0.043,11.6659,15.5705
31,3.125,57,24.6487,1.2405,0.4522,0.0558,12.3975,16.4296
