POOLED — 57 regiões: 2944_1_NE, 2944_1_SE, 2944_2_NE, 2944_2_NO, 2944_2_SE, 2944_2_SO, 2944_3_NE, 2944_3_SE, 2944_4_NE, 2944_4_NO, 2944_4_SE, 2944_4_SO, 2945_1_NE, 2945_1_NO, 2945_1_SE, 2945_1_SO, 2945_2_NE, 2945_2_NO, 2945_2_SE, 2945_2_SO, 2945_3_NE, 2945_3_NO, 2945_3_SE, 2945_3_SO, 2945_4_NE, 2945_4_NO, 2945_4_SE, 2945_4_SO, 2946_1_NO, 2946_1_SO, 2946_3_NO, 2946_3_SO, 2961_1_NE, 2961_1_SE, 2961_2_NE, 2961_2_NO, 2961_2_SE, 2961_2_SO, 2961_3_NE, 2961_4_NE, 2961_4_NO, 2962_1_NE, 2962_1_NO, 2962_1_SE, 2962_1_SO, 2962_2_NE, 2962_2_NO, 2962_2_SE, 2962_2_SO, 2962_3_NE, 2962_3_NO, 2962_4_NE, 2962_4_NO, 2963_1_NO, 2963_1_SO, 2963_3_NO, 2970_3_SE

Shift-consistency (média entre regiões):
   overlap%   scPSNR    ±dp   SSIM    ±dp
      100.0    99.99   0.00  1.000  0.000
       90.6    30.83   1.11  0.850  0.014
       81.2    29.91   1.11  0.819  0.016
       68.8    28.94   1.10  0.780  0.020
       59.4    28.35   1.12  0.753  0.023
       50.0    27.81   1.13  0.722  0.025
       40.6    27.24   1.16  0.685  0.028
       31.2    26.65   1.18  0.641  0.032
       18.8    25.78   1.21  0.568  0.038
        9.4    25.09   1.24  0.505  0.043
        3.1    24.65   1.24  0.452  0.056

Blends (média entre regiões):
        blend    seam    ±dp    PSNR   SSIM
         none   1.303  0.052   25.26  0.697
       linear   1.099  0.044   32.03  0.923
       cosine   1.072  0.042   33.33  0.945
     gaussian   1.047  0.040   34.38  0.959
         data   1.093  0.040   32.41  0.928
